N,P,K,temperature,humidity,ph,rainfall,label
10.2,14.6,44.0,29.36,92.48,5.57,63.39,Pomegranate
20.8,124.5,203.9,22.16,81.4,6.58,153.06,Apple
16.9,7.6,9.9,19.57,88.65,6.57,115.75,Orange
10.6,36.4,80.9,27.79,73.55,5.55,94.57,Groundnut
26.9,63.3,83.7,27.78,59.01,6.5,86.43,Groundnut
18.9,18.3,41.1,29.74,52.06,7.41,137.91,Mango
113.0,40.4,41.6,30.52,94.94,6.02,191.86,Sugarcane
97.9,37.6,44.7,20.55,90.21,6.65,195.41,Rice
89.1,31.4,30.8,22.37,87.11,7.18,247.34,Sugarcane
27.9,16.3,18.3,34.15,86.2,6.89,94.89,Orange
119.3,26.7,37.7,24.28,77.67,6.88,162.73,Sugarcane
23.5,9.4,16.3,19.82,86.04,6.01,122.3,Orange
36.6,66.4,15.6,31.73,59.2,7.8,59.4,Blackgram
25.7,80.6,24.2,19.89,58.7,7.96,49.6,Lentil
22.3,129.1,192.9,8.22,88.28,6.79,119.87,Apple
28.1,12.8,44.3,32.49,88.36,6.18,145.34,Coconut
122.9,39.4,40.3,25.5,80.24,5.54,228.03,Sugarcane
99.4,21.1,41.2,29.44,74.75,6.95,172.24,Sugarcane
32.1,149.2,217.4,11.88,92.42,5.58,108.27,Apple
28.1,129.6,201.7,19.54,91.78,6.22,104.04,Apple
93.6,67.2,18.7,17.25,73.66,6.33,81.58,Wheat
26.5,56.3,25.8,33.3,80.21,6.16,36.19,Mungbean
122.0,36.6,31.2,24.17,70.71,5.7,199.65,Coffee
121.5,69.8,58.6,34.55,84.86,5.51,147.88,Banana
92.9,59.5,35.2,32.7,81.14,6.86,211.37,Jute
39.7,76.2,21.4,30.61,77.56,7.24,79.6,Blackgram
45.7,55.6,85.2,29.73,17.07,6.75,58.43,Chickpea
20.3,19.0,47.6,30.75,82.88,6.88,183.79,Coconut
30.6,46.1,27.2,27.47,46.8,5.38,42.02,Mothbeans
18.1,48.5,21.2,25.74,87.96,6.11,39.25,Mungbean
17.8,8.7,51.0,24.74,87.09,7.02,47.48,Pomegranate
87.5,41.9,17.6,22.79,58.59,7.07,85.32,Wheat
16.7,8.3,9.9,15.49,90.92,7.88,100.7,Orange
48.7,77.9,64.8,34.8,93.87,7.0,128.46,Papaya
21.8,53.1,25.3,26.94,94.87,7.14,40.54,Mungbean
34.6,67.5,83.3,24.27,20.54,7.1,73.48,Chickpea
83.3,48.3,30.8,18.58,58.13,7.49,87.14,Wheat
23.8,6.2,8.3,21.83,85.32,7.62,115.48,Orange
118.9,21.8,49.7,28.88,89.17,7.5,247.4,Sugarcane
25.0,64.7,30.1,30.06,30.67,7.03,149.53,Pigeonpeas
24.8,23.6,40.3,26.78,82.3,5.29,219.93,Coconut
12.4,43.3,84.9,25.53,73.64,6.66,78.28,Groundnut
47.6,76.4,25.9,34.56,77.95,7.22,67.62,Blackgram
27.8,19.8,18.7,17.11,92.62,6.81,125.83,Orange
100.3,53.4,50.8,27.46,90.68,6.2,119.19,Banana
28.8,37.0,82.3,28.66,57.0,7.3,64.42,Groundnut
69.6,47.5,41.6,19.03,79.37,5.64,91.56,Maize
28.2,46.7,15.8,25.69,94.23,6.88,33.2,Mungbean
45.2,63.2,20.8,29.62,67.52,6.81,68.81,Blackgram
30.9,81.4,33.6,21.14,33.94,6.95,147.31,Pigeonpeas
101.8,21.6,32.3,15.01,74.14,6.07,134.84,Coffee
22.5,47.9,18.0,24.13,50.89,4.78,35.89,Mothbeans
18.2,49.5,17.6,25.35,82.63,7.26,42.61,Mungbean
117.6,16.5,41.3,21.2,73.9,6.17,146.77,Coffee
38.0,64.8,17.9,32.69,71.42,6.05,70.39,Blackgram
87.9,29.3,35.2,23.76,91.28,7.26,152.89,Sugarcane
21.2,17.3,15.6,28.53,80.11,6.75,98.96,Orange
16.5,48.8,81.6,29.54,77.54,6.03,84.8,Groundnut
125.6,46.1,31.2,28.97,54.77,7.27,91.73,Cotton
17.1,5.6,35.6,34.1,82.3,6.97,64.84,Pomegranate
64.6,54.0,39.4,28.44,90.75,6.95,179.2,Jute
15.7,53.0,67.8,32.81,66.1,6.61,64.53,Groundnut
94.9,21.6,45.6,23.79,75.01,6.32,206.94,Sugarcane
37.4,70.9,83.9,17.15,48.75,6.11,84.24,Chickpea
19.1,63.0,28.4,35.34,36.58,6.88,168.62,Pigeonpeas
112.5,53.7,53.9,32.37,81.33,6.97,136.38,Banana
60.9,67.6,46.1,36.71,90.58,6.93,136.79,Papaya
123.5,49.9,18.7,22.81,50.07,7.29,60.13,Wheat
25.0,39.2,40.8,34.92,76.38,6.42,111.85,Mango
33.3,65.8,28.6,30.21,32.31,6.02,170.38,Pigeonpeas
47.9,81.3,80.1,18.95,40.06,7.07,69.84,Chickpea
17.7,9.8,16.9,18.94,81.09,7.31,104.88,Orange
74.1,64.9,31.9,29.76,78.7,5.65,98.25,Maize
45.3,75.2,19.7,28.37,78.1,6.24,76.08,Blackgram
87.9,45.2,38.1,27.66,81.73,5.64,191.61,Rice
31.3,62.2,23.6,34.35,72.87,6.91,61.38,Blackgram
37.2,78.3,18.0,34.16,65.03,6.93,78.18,Blackgram
31.4,111.9,187.5,16.39,86.65,6.94,84.09,Grapes
26.0,47.4,28.4,32.52,80.61,7.38,42.61,Mungbean
113.8,22.5,39.6,22.49,57.35,5.58,181.67,Coffee
26.9,11.7,28.0,26.41,80.38,6.39,191.94,Coconut
30.9,52.6,19.3,27.92,82.39,6.82,34.44,Mungbean
15.6,73.1,28.0,27.21,44.2,5.87,122.5,Pigeonpeas
20.8,33.7,32.2,32.82,78.58,6.16,126.61,Mango
92.2,43.8,29.1,12.82,69.13,6.31,65.12,Wheat
21.3,16.4,47.8,28.05,93.58,5.87,247.74,Coconut
13.6,10.8,44.1,26.75,94.4,6.3,60.85,Pomegranate
63.4,50.5,47.7,22.68,91.37,6.63,260.74,Rice
17.4,76.1,19.0,31.43,32.84,5.68,177.08,Pigeonpeas
46.8,73.7,62.8,35.31,88.52,7.49,120.89,Papaya
79.0,51.5,40.3,26.98,83.46,5.82,244.72,Rice
86.5,50.3,50.3,31.04,71.06,6.22,212.07,Jute
128.4,67.9,67.4,25.46,76.34,6.43,101.18,Banana
105.3,60.6,63.1,33.13,88.44,6.18,81.91,Banana
142.4,59.8,21.0,28.73,57.74,7.5,64.78,Cotton
109.4,25.9,30.9,24.06,60.69,5.78,147.81,Coffee
9.7,10.1,38.0,23.79,88.48,6.31,30.22,Pomegranate
81.9,55.1,29.8,22.44,71.85,6.66,86.82,Wheat
31.9,61.8,15.8,21.94,38.14,5.81,172.23,Pigeonpeas
87.0,64.4,39.6,27.56,73.13,6.88,61.6,Maize
13.8,8.3,47.2,31.82,85.54,6.18,62.93,Pomegranate
30.1,56.9,16.3,24.2,55.65,6.74,169.06,Pigeonpeas
36.8,40.5,54.1,34.63,56.28,5.66,102.36,Mango
27.7,107.1,188.2,10.57,81.85,6.75,97.27,Grapes
79.6,40.0,44.9,20.03,73.01,6.48,115.01,Maize
114.6,39.8,33.8,16.9,56.35,6.73,135.97,Coffee
42.6,63.2,17.4,34.92,71.97,7.32,55.37,Blackgram
33.5,52.3,16.2,27.68,62.49,4.73,69.18,Mothbeans
63.0,55.9,64.6,37.35,88.97,6.92,124.84,Papaya
34.5,64.8,15.8,28.73,60.04,4.02,62.96,Mothbeans
22.7,143.4,202.0,12.34,82.76,5.74,113.07,Apple
23.3,52.5,29.3,32.95,89.6,6.46,48.01,Mungbean
40.9,79.4,20.6,26.9,66.19,7.78,68.63,Blackgram
56.2,82.4,85.0,23.61,46.2,7.41,93.98,Chickpea
32.7,62.6,25.2,23.58,37.57,5.86,140.04,Pigeonpeas
21.5,5.1,42.1,28.41,88.11,6.23,123.79,Coconut
105.5,28.1,35.0,22.17,73.39,5.98,171.27,Coffee
137.6,61.4,23.0,23.0,49.06,6.48,91.73,Cotton
43.5,61.0,59.7,36.44,85.43,6.53,150.34,Papaya
29.8,49.6,24.2,27.04,53.53,4.04,65.27,Mothbeans
38.1,60.7,25.1,28.4,72.08,6.59,78.98,Blackgram
60.8,62.9,52.6,26.65,81.15,5.59,285.36,Rice
81.2,40.7,51.0,34.26,79.53,6.38,224.14,Jute
58.2,79.2,77.8,19.37,27.22,6.36,75.92,Chickpea
34.4,143.4,192.6,9.51,84.71,6.9,109.69,Apple
9.5,8.9,47.7,28.87,92.04,6.4,44.91,Pomegranate
38.6,26.1,53.6,31.22,62.26,5.74,111.46,Mango
114.5,32.5,31.4,29.11,81.86,5.81,219.52,Sugarcane
108.5,25.6,37.3,15.71,70.51,5.71,186.39,Coffee
23.5,54.8,77.1,29.58,66.9,7.21,75.33,Groundnut
17.9,8.0,38.3,28.9,84.45,5.39,208.6,Coconut
29.4,47.7,82.4,26.12,69.68,5.67,60.39,Groundnut
30.9,141.5,186.7,12.68,78.31,5.66,73.09,Grapes
5.4,19.6,46.1,26.83,83.52,7.34,35.27,Pomegranate
104.3,26.5,38.3,26.48,60.0,5.77,152.12,Coffee
32.8,65.1,27.9,31.71,69.91,6.69,68.89,Blackgram
22.9,13.7,14.9,34.41,84.83,7.46,99.03,Orange
30.1,53.9,17.5,32.39,94.71,6.86,50.02,Mungbean
22.0,57.9,68.6,30.68,55.72,7.13,61.12,Groundnut
128.2,49.1,27.5,28.03,59.79,6.99,88.63,Cotton
26.0,24.5,34.6,28.41,90.35,6.18,221.96,Coconut
10.9,66.3,24.0,24.3,34.75,6.03,56.92,Lentil
13.9,44.5,75.1,32.55,77.71,6.22,57.4,Groundnut
29.8,130.8,213.4,16.46,85.57,6.48,112.6,Apple
97.6,61.8,46.1,21.01,70.88,6.6,67.51,Maize
19.3,54.0,81.5,25.57,77.34,6.17,51.64,Groundnut
121.6,42.8,17.4,20.87,70.29,6.83,91.05,Wheat
58.4,57.9,61.9,25.95,91.45,6.91,170.44,Papaya
10.5,18.3,48.7,22.54,85.06,6.09,62.77,Pomegranate
63.7,47.7,40.5,20.03,90.42,6.46,211.43,Rice
82.2,53.8,71.2,33.35,88.7,6.89,99.8,Banana
64.2,48.4,49.1,36.69,89.38,6.47,243.98,Jute
54.2,75.8,53.9,25.72,81.83,6.61,178.96,Papaya
29.4,56.4,24.9,26.25,57.27,6.97,38.4,Lentil
35.6,83.9,71.3,27.38,45.58,7.48,76.2,Chickpea
30.0,119.1,209.8,31.96,77.93,5.52,64.59,Grapes
90.1,60.6,54.1,23.35,89.95,6.32,252.39,Rice
23.6,64.5,23.9,27.81,49.67,3.74,37.24,Mothbeans
42.2,69.4,62.1,37.11,87.5,6.6,123.4,Papaya
26.7,48.3,21.8,33.29,88.91,6.99,36.47,Mungbean
20.3,58.0,64.6,25.76,73.82,6.59,93.62,Groundnut
43.0,78.4,16.1,30.71,63.18,6.8,66.42,Blackgram
15.0,55.9,16.0,18.2,39.6,5.5,146.7,Pigeonpeas
15.9,52.3,27.6,26.4,91.85,7.05,32.68,Mungbean
22.7,146.6,193.9,19.88,81.81,6.38,154.73,Apple
109.6,44.2,40.9,33.88,70.71,6.9,244.76,Sugarcane
24.3,52.5,66.8,31.32,71.1,6.3,73.79,Groundnut
39.6,68.4,75.0,29.16,29.92,6.87,54.12,Chickpea
14.4,49.1,72.1,32.12,58.62,7.36,72.75,Groundnut
119.6,48.8,39.5,24.26,94.22,6.89,242.88,Sugarcane
27.7,78.3,17.9,27.67,48.43,6.91,30.01,Lentil
31.0,9.4,45.1,29.26,90.29,6.96,208.19,Coconut
20.2,123.8,215.9,11.45,72.72,6.3,89.02,Grapes
134.8,64.5,34.8,27.49,48.3,6.14,69.15,Cotton
17.2,24.2,37.2,26.03,68.43,6.15,62.45,Mango
148.2,55.2,24.9,30.9,55.39,7.68,74.43,Cotton
45.5,65.0,17.2,30.88,74.33,7.7,61.8,Blackgram
110.1,24.8,38.7,17.27,84.3,6.55,156.81,Coffee
40.6,65.2,18.2,31.45,70.36,6.25,57.56,Blackgram
17.6,41.4,65.7,25.9,79.62,5.75,55.52,Groundnut
145.2,45.0,22.9,25.97,62.49,6.47,82.77,Cotton
11.2,79.1,28.0,25.93,41.15,6.83,34.72,Lentil
18.1,6.4,11.6,25.72,88.9,6.06,118.3,Orange
18.1,24.9,41.8,26.34,71.79,5.03,213.77,Coconut
107.6,59.3,73.8,28.63,90.31,5.68,140.69,Banana
10.4,5.5,49.8,22.48,81.26,5.69,59.07,Pomegranate
26.5,33.0,25.5,32.3,69.39,5.5,102.89,Mango
80.0,54.6,42.1,21.09,75.54,7.43,98.5,Maize
34.9,135.3,199.1,31.2,79.9,6.56,75.07,Grapes
113.0,69.2,72.1,25.58,85.79,6.57,126.23,Banana
20.0,58.3,24.1,21.98,57.6,6.32,43.87,Lentil
46.6,56.5,25.3,25.38,72.17,6.12,76.32,Blackgram
108.3,43.8,30.6,25.49,67.16,7.54,51.47,Cotton
23.3,67.0,16.5,21.95,32.02,7.11,46.04,Lentil
19.6,6.4,38.4,33.57,87.35,6.0,35.65,Pomegranate
73.5,59.8,38.3,26.5,62.49,7.13,82.1,Maize
117.3,65.2,32.5,34.36,45.04,7.31,92.45,Cotton
94.1,59.9,36.7,27.05,79.88,6.2,253.24,Rice
15.6,12.7,52.2,35.87,81.22,5.71,57.97,Pomegranate
71.3,56.9,43.2,26.46,87.73,6.68,207.8,Jute
37.4,72.3,15.3,33.22,67.68,7.99,69.52,Blackgram
132.5,44.8,33.7,25.56,61.36,6.5,68.59,Cotton
22.5,33.8,27.0,32.13,66.78,6.09,94.33,Mango
17.5,15.7,51.8,28.09,87.35,7.08,57.41,Pomegranate
19.6,18.0,14.7,13.68,93.14,7.49,99.62,Orange
16.4,11.2,35.3,32.94,89.07,5.8,59.43,Pomegranate
92.4,47.6,44.2,28.61,55.39,5.91,66.05,Maize
21.9,6.8,25.2,34.86,80.1,5.26,158.24,Coconut
24.6,17.5,47.3,30.37,78.38,6.57,173.81,Coconut
24.0,140.7,187.4,9.65,73.65,6.64,70.37,Grapes
17.4,22.1,28.2,31.56,92.5,6.13,245.73,Coconut
21.6,7.1,11.6,17.83,94.02,7.43,108.74,Orange
81.4,67.9,36.0,19.8,69.78,6.21,70.08,Wheat
25.0,42.6,42.5,24.44,56.59,5.91,137.69,Mango
119.1,44.5,33.6,33.15,58.82,7.83,87.03,Cotton
89.4,48.4,47.5,27.24,75.71,6.95,163.12,Sugarcane
117.3,27.1,49.5,24.18,92.13,5.68,220.9,Sugarcane
96.0,27.6,29.4,15.66,76.95,6.09,155.65,Coffee
22.9,7.5,7.2,12.35,84.57,7.47,108.1,Orange
91.0,62.6,46.8,26.83,56.56,5.78,72.44,Maize
45.1,65.2,17.6,32.23,78.54,7.21,67.65,Blackgram
37.8,20.5,42.1,28.72,78.37,5.98,138.35,Mango
29.9,21.7,32.5,32.25,77.89,6.07,147.07,Coconut
27.1,49.3,25.6,28.81,57.47,4.26,61.52,Mothbeans
60.7,51.8,45.7,32.34,85.46,6.63,208.56,Jute
15.2,41.5,26.8,24.9,56.65,4.67,30.35,Mothbeans
20.8,83.6,19.9,21.78,36.9,6.42,39.09,Lentil
142.9,53.2,15.0,34.45,50.06,7.38,56.6,Cotton
66.6,49.0,37.6,24.98,75.54,6.09,247.73,Rice
30.0,49.7,62.6,28.5,71.46,5.67,57.17,Groundnut
15.8,51.3,15.1,28.55,94.81,7.4,49.46,Mungbean
19.6,130.1,204.4,16.16,89.66,5.96,116.15,Apple
24.6,72.9,30.9,30.01,62.82,5.66,126.44,Pigeonpeas
57.6,58.1,93.9,27.22,46.06,6.59,78.51,Chickpea
23.1,65.3,33.9,30.94,49.33,6.48,136.0,Pigeonpeas
99.2,57.9,50.2,27.56,94.09,6.96,195.28,Jute
32.5,85.0,81.1,15.61,34.18,7.34,63.69,Chickpea
14.5,11.5,40.5,35.49,90.33,5.99,63.02,Pomegranate
68.8,44.0,26.5,29.38,76.99,7.32,97.56,Maize
70.5,50.4,37.4,19.18,79.53,6.44,110.38,Maize
19.7,7.3,11.9,13.69,92.96,6.23,128.8,Orange
54.2,62.3,82.4,23.87,38.3,6.21,89.05,Chickpea
16.5,137.1,214.4,10.4,82.74,6.62,144.89,Apple
16.9,60.8,73.7,32.62,55.79,6.36,95.75,Groundnut
34.6,132.4,191.5,8.66,86.94,6.0,69.69,Grapes
19.1,16.3,11.0,23.91,84.7,7.22,105.73,Orange
42.4,62.4,17.6,30.71,71.74,7.46,65.19,Blackgram
11.5,11.0,51.7,22.55,85.6,6.18,57.14,Pomegranate
22.3,116.7,190.9,32.33,74.52,5.51,75.09,Grapes
19.3,118.0,185.1,25.42,71.49,5.88,75.27,Grapes
29.0,129.0,202.3,13.4,91.72,6.54,117.21,Apple
24.7,17.4,17.0,24.45,81.93,7.27,129.09,Orange
86.5,47.6,23.4,27.35,71.15,6.02,181.42,Sugarcane
33.1,62.0,79.5,23.44,43.48,7.54,55.98,Chickpea
38.5,75.7,28.1,30.39,76.92,7.7,59.43,Blackgram
97.6,39.0,37.3,20.86,86.06,5.91,252.58,Rice
127.2,76.5,51.7,34.48,93.08,6.47,123.86,Banana
24.6,73.4,15.8,26.84,31.1,6.14,121.86,Pigeonpeas
114.5,61.8,54.1,26.25,70.35,5.67,81.11,Banana
27.1,103.6,185.5,21.14,73.09,5.78,60.51,Grapes
23.3,75.0,20.1,24.23,31.89,6.73,49.27,Lentil
88.1,22.2,45.4,25.83,77.97,7.4,157.42,Sugarcane
17.9,16.8,38.9,28.88,64.53,6.31,81.04,Mango
121.4,62.2,32.1,18.32,66.15,6.64,75.33,Wheat
94.2,73.5,66.4,31.72,87.86,6.28,97.33,Banana
28.2,51.0,25.8,26.14,43.56,5.33,33.73,Mothbeans
36.1,59.5,75.3,27.61,27.7,7.82,79.17,Chickpea
116.7,37.7,25.1,26.77,86.26,5.57,237.65,Sugarcane
122.4,63.2,57.5,32.69,76.13,6.71,103.89,Banana
122.9,62.3,30.3,29.15,47.83,6.23,88.76,Cotton
86.6,58.8,66.3,34.6,90.83,6.51,131.42,Banana
34.7,140.8,180.1,9.96,83.93,6.29,86.18,Grapes
15.8,5.5,9.0,11.65,81.52,6.45,114.81,Orange
16.3,6.0,11.1,17.46,90.68,7.74,110.99,Orange
148.4,48.7,28.9,28.38,59.4,6.48,68.8,Cotton
46.7,67.6,56.5,32.13,86.27,7.1,170.86,Papaya
68.7,60.9,26.4,24.05,62.23,7.13,103.89,Maize
24.9,24.2,51.7,30.86,78.06,6.25,109.55,Mango
110.6,30.8,26.0,18.79,66.94,5.96,186.21,Coffee
61.8,45.3,26.6,29.93,78.36,5.64,116.03,Maize
65.7,73.7,45.1,25.87,88.37,6.31,130.69,Papaya
65.3,39.6,43.7,25.27,65.4,6.6,88.25,Maize
31.0,49.3,15.0,29.83,92.36,6.75,36.33,Mungbean
39.0,58.7,88.6,21.82,17.46,7.96,95.53,Chickpea
26.2,109.5,188.3,23.17,88.78,5.68,68.55,Grapes
62.0,68.0,61.6,28.83,81.64,7.06,170.68,Papaya
48.6,62.8,46.6,30.47,94.75,6.86,157.96,Papaya
71.7,36.3,30.0,18.5,78.33,6.53,119.35,Maize
15.9,7.4,45.2,31.67,81.46,6.36,233.65,Coconut
88.3,59.2,47.9,24.75,79.19,6.61,68.05,Maize
6.3,11.7,40.5,21.58,87.58,5.85,59.87,Pomegranate
105.0,62.6,26.8,26.99,69.08,6.63,56.99,Cotton
100.1,31.0,29.0,26.54,80.91,5.83,129.03,Coffee
65.3,45.3,49.0,33.73,77.47,6.55,236.07,Jute
23.4,60.6,17.3,28.38,46.38,5.33,30.02,Mothbeans
64.1,45.3,46.1,24.0,72.27,6.41,211.91,Jute
15.2,28.9,53.1,29.33,56.65,5.54,85.3,Mango
26.8,16.6,14.9,16.87,94.02,7.25,115.54,Orange
23.2,15.9,34.2,34.78,84.2,6.41,134.71,Coconut
25.8,78.4,19.0,29.19,44.16,7.71,39.11,Lentil
93.8,44.6,33.7,18.78,68.55,7.28,111.08,Maize
99.3,32.2,32.2,23.95,69.3,6.25,168.38,Coffee
28.4,50.4,28.6,27.04,82.46,6.15,57.95,Mungbean
93.6,76.7,62.6,30.84,94.29,6.29,119.96,Banana
32.2,48.9,26.4,30.32,87.4,6.65,46.87,Mungbean
33.2,61.1,21.3,32.17,64.21,7.45,68.21,Blackgram
19.1,55.0,20.5,26.39,55.11,4.32,45.04,Mothbeans
22.5,43.8,84.2,29.33,58.3,6.19,72.19,Groundnut
38.3,82.0,90.4,22.32,36.0,7.25,69.77,Chickpea
89.2,41.0,41.2,27.96,88.0,6.16,242.11,Rice
80.2,57.9,32.0,29.87,72.01,5.74,118.5,Maize
16.0,43.9,17.0,30.89,60.86,4.65,41.17,Mothbeans
35.8,68.7,15.2,26.58,77.3,6.08,63.27,Blackgram
51.1,75.6,53.3,33.34,93.14,6.21,139.59,Papaya
26.3,14.2,9.5,16.07,87.68,6.25,111.73,Orange
147.7,51.9,30.5,22.39,51.83,7.99,74.53,Cotton
70.1,35.5,44.7,22.14,73.32,6.76,106.29,Maize
34.6,42.8,28.0,24.86,51.15,5.9,77.7,Mango
54.3,82.3,87.7,27.59,18.46,7.04,83.18,Chickpea
