temperature,humidity,moisture,soil_type,crop_type,nitrogen,phosphorous,potassium,fertilizer
17.6,95.1,39.8,Red,Wheat,85.8,149.2,114.0,No Fertilizer Needed
42.0,50.9,43.3,Loamy,Mothbeans,51.0,48.0,30.5,Balanced NPK 10-10-10
29.1,34.9,82.3,Clayey,Wheat,11.5,81.5,3.2,MOP (Muriate of Potash)
42.2,37.4,14.1,Clayey,Blackgram,131.5,11.4,52.2,SSP (Single Super Phosphate)
41.5,77.4,22.2,Clayey,Lentil,23.3,75.9,34.5,Urea
17.7,91.0,15.1,Loamy,Pomegranate,27.6,66.8,174.5,Urea
28.6,47.5,71.3,Red,Banana,135.1,115.1,1.1,MOP (Muriate of Potash)
23.8,52.1,75.6,Clayey,Mothbeans,28.2,131.5,165.0,Urea
16.4,82.4,35.2,Clayey,Chickpea,35.0,69.5,164.7,Urea
44.9,38.2,71.1,Black,Blackgram,10.8,125.1,63.1,Urea
17.5,82.3,87.4,Loamy,Grapes,8.7,19.2,117.5,DAP (Diammonium Phosphate)
15.1,22.9,16.4,Loamy,Wheat,88.5,112.8,39.0,Balanced NPK 10-10-10
14.8,37.7,45.2,Red,Lentil,34.6,146.0,176.1,Urea
13.9,65.5,47.6,Red,Papaya,63.6,119.8,215.1,No Fertilizer Needed
28.8,88.1,13.5,Clayey,Chickpea,29.2,108.6,49.1,Urea
37.1,39.3,49.6,Clayey,Mungbean,5.4,95.8,55.7,Urea
29.3,67.4,58.4,Sandy,Maize,149.9,30.2,130.8,SSP (Single Super Phosphate)
27.4,79.0,12.2,Loamy,Rice,7.7,70.3,179.4,Urea
30.4,59.9,46.2,Loamy,Mothbeans,75.9,31.2,26.2,SSP (Single Super Phosphate)
36.6,39.5,39.9,Clayey,Mango,133.8,144.0,79.0,No Fertilizer Needed
18.3,94.6,22.8,Clayey,Mango,28.0,24.8,104.1,DAP (Diammonium Phosphate)
43.3,71.1,11.6,Loamy,Groundnut,57.7,133.0,3.0,MOP (Muriate of Potash)
34.6,75.6,59.6,Loamy,Pigeonpeas,133.9,23.5,186.7,SSP (Single Super Phosphate)
12.8,99.6,75.3,Loamy,Pomegranate,26.6,125.5,184.6,Urea
43.1,79.4,77.4,Sandy,Jute,106.5,52.3,114.4,No Fertilizer Needed
30.9,69.3,11.4,Sandy,Banana,110.5,121.8,54.6,No Fertilizer Needed
24.7,37.1,40.3,Sandy,Rice,118.7,136.2,113.0,No Fertilizer Needed
31.7,68.0,80.3,Red,Jute,78.1,111.8,114.9,No Fertilizer Needed
14.5,53.9,86.1,Red,Mango,15.0,55.9,159.0,Urea
26.5,22.7,59.0,Red,Mungbean,48.2,135.2,185.6,No Fertilizer Needed
30.5,29.2,86.6,Sandy,Lentil,39.1,28.9,61.2,DAP (Diammonium Phosphate)
26.0,52.7,18.5,Sandy,Orange,67.5,80.8,127.5,No Fertilizer Needed
36.5,36.7,41.5,Loamy,Blackgram,68.9,33.9,181.6,SSP (Single Super Phosphate)
10.1,81.1,52.2,Loamy,Coconut,78.8,24.7,118.0,SSP (Single Super Phosphate)
39.9,89.2,35.1,Loamy,Cotton,11.5,31.7,176.2,DAP (Diammonium Phosphate)
19.5,22.8,73.0,Red,Pigeonpeas,135.0,68.9,11.0,MOP (Muriate of Potash)
24.3,20.0,83.5,Black,Wheat,25.5,104.0,8.7,MOP (Muriate of Potash)
37.8,90.9,64.9,Loamy,Blackgram,65.4,92.3,49.5,Balanced NPK 10-10-10
39.2,43.6,76.6,Red,Grapes,52.4,135.0,143.9,No Fertilizer Needed
17.6,98.3,76.4,Clayey,Mango,94.5,128.2,183.1,No Fertilizer Needed
31.1,90.2,27.8,Black,Groundnut,19.0,14.0,105.3,DAP (Diammonium Phosphate)
39.1,62.3,86.3,Black,Groundnut,135.8,50.6,55.7,No Fertilizer Needed
22.3,75.9,42.0,Loamy,Sugarcane,127.1,105.5,85.2,No Fertilizer Needed
29.5,97.6,27.2,Black,Blackgram,120.2,143.7,93.3,No Fertilizer Needed
19.7,77.0,42.9,Loamy,Sugarcane,67.8,74.8,113.9,Balanced NPK 10-10-10
24.2,40.3,37.6,Loamy,Mango,65.0,99.3,85.5,No Fertilizer Needed
22.9,40.7,50.1,Clayey,Banana,47.8,99.3,122.2,No Fertilizer Needed
26.3,91.6,76.6,Loamy,Pomegranate,23.9,142.0,114.3,Urea
42.2,70.3,16.2,Red,Mango,70.0,78.6,190.8,Balanced NPK 10-10-10
17.6,30.5,27.8,Clayey,Groundnut,123.5,116.3,96.0,No Fertilizer Needed
31.8,22.2,63.5,Black,Cotton,64.7,11.4,145.9,SSP (Single Super Phosphate)
25.1,88.1,83.8,Black,Pomegranate,73.9,46.5,135.2,Balanced NPK 10-10-10
36.0,80.5,36.0,Sandy,Jute,0.8,33.3,123.8,DAP (Diammonium Phosphate)
17.3,77.9,71.4,Clayey,Coffee,108.0,53.7,184.4,No Fertilizer Needed
22.4,21.0,63.8,Red,Apple,57.7,128.9,216.0,No Fertilizer Needed
29.1,75.3,17.1,Sandy,Maize,119.2,42.2,181.6,No Fertilizer Needed
41.8,31.7,13.8,Loamy,Groundnut,0.2,90.4,1.9,MOP (Muriate of Potash)
35.8,25.6,68.8,Black,Pigeonpeas,39.0,4.3,219.9,DAP (Diammonium Phosphate)
42.9,77.2,41.1,Black,Banana,106.9,144.7,65.9,No Fertilizer Needed
43.5,39.6,15.4,Loamy,Grapes,143.6,37.1,38.1,SSP (Single Super Phosphate)
42.0,74.2,51.4,Loamy,Blackgram,90.5,92.0,133.6,No Fertilizer Needed
27.5,28.1,81.8,Clayey,Mungbean,14.4,129.1,148.2,Urea
28.2,84.1,44.3,Red,Maize,7.3,44.7,196.6,Urea
24.1,94.0,82.1,Sandy,Grapes,19.7,131.5,166.1,Urea
27.8,64.4,58.8,Sandy,Apple,19.3,5.5,18.7,NPK 20-20-20
13.2,55.9,34.6,Red,Coconut,127.8,7.1,67.9,SSP (Single Super Phosphate)
37.6,29.3,40.4,Loamy,Apple,87.7,85.2,78.6,Balanced NPK 10-10-10
30.6,44.9,71.0,Clayey,Maize,32.3,30.8,187.8,DAP (Diammonium Phosphate)
25.6,50.0,56.0,Clayey,Groundnut,114.4,41.7,90.4,No Fertilizer Needed
29.7,82.6,44.7,Loamy,Chickpea,127.9,129.5,96.9,No Fertilizer Needed
36.3,74.8,42.2,Loamy,Papaya,24.3,25.9,57.1,DAP (Diammonium Phosphate)
37.3,71.5,89.9,Red,Pigeonpeas,29.6,1.7,65.9,DAP (Diammonium Phosphate)
34.9,45.4,87.1,Loamy,Pomegranate,119.3,46.1,56.7,No Fertilizer Needed
40.0,40.5,46.7,Loamy,Apple,83.3,46.4,103.8,Balanced NPK 10-10-10
43.8,96.8,18.2,Loamy,Coconut,38.0,89.7,129.4,Urea
34.1,29.0,52.6,Clayey,Mango,91.4,86.3,173.9,No Fertilizer Needed
41.3,52.5,40.1,Red,Papaya,6.1,98.1,125.3,Urea
36.2,99.3,60.6,Red,Banana,27.6,96.4,184.4,Urea
44.4,70.5,83.2,Sandy,Wheat,129.7,19.5,90.6,SSP (Single Super Phosphate)
30.6,20.2,34.9,Sandy,Lentil,23.5,95.4,97.9,Urea
16.4,91.1,89.4,Black,Coffee,110.1,53.1,12.6,MOP (Muriate of Potash)
11.7,36.1,21.7,Sandy,Mungbean,19.4,19.9,138.0,DAP (Diammonium Phosphate)
34.1,33.4,10.2,Sandy,Grapes,131.3,63.3,4.6,MOP (Muriate of Potash)
40.7,27.3,89.6,Red,Sugarcane,101.8,36.0,34.3,SSP (Single Super Phosphate)
18.2,40.2,38.9,Red,Maize,0.1,70.3,53.1,Urea
19.5,21.7,23.3,Black,Mothbeans,76.3,87.0,72.7,Balanced NPK 10-10-10
28.4,79.9,31.7,Black,Mungbean,90.0,132.7,129.1,No Fertilizer Needed
16.9,58.5,34.7,Black,Groundnut,17.7,36.4,109.2,DAP (Diammonium Phosphate)
44.3,60.8,45.4,Red,Cotton,26.6,9.2,33.2,DAP (Diammonium Phosphate)
31.8,77.4,36.1,Red,Orange,137.6,5.1,197.9,SSP (Single Super Phosphate)
20.1,70.0,81.3,Loamy,Mango,83.9,13.5,202.6,SSP (Single Super Phosphate)
18.3,86.8,44.2,Black,Groundnut,95.1,30.3,43.2,SSP (Single Super Phosphate)
33.0,64.8,25.8,Loamy,Coffee,87.0,130.0,14.5,MOP (Muriate of Potash)
31.0,28.6,55.6,Red,Pigeonpeas,107.1,53.7,196.8,No Fertilizer Needed
22.9,85.3,42.1,Black,Wheat,98.6,97.5,12.6,MOP (Muriate of Potash)
21.1,96.2,31.8,Clayey,Mothbeans,57.2,87.6,200.5,No Fertilizer Needed
32.8,54.0,51.1,Sandy,Lentil,87.5,42.8,97.0,Balanced NPK 10-10-10
22.3,49.2,87.0,Black,Apple,39.4,80.5,29.4,MOP (Muriate of Potash)
13.9,23.0,18.5,Clayey,Blackgram,124.1,53.9,118.8,No Fertilizer Needed
44.5,44.6,61.7,Black,Grapes,143.8,79.9,187.6,No Fertilizer Needed
12.3,88.2,79.2,Clayey,Banana,147.8,101.2,94.4,No Fertilizer Needed
39.6,22.5,25.0,Clayey,Mothbeans,115.6,103.5,96.7,No Fertilizer Needed
38.7,29.3,81.3,Red,Apple,86.3,96.9,84.6,No Fertilizer Needed
20.8,89.4,27.1,Clayey,Maize,79.8,56.4,67.8,Balanced NPK 10-10-10
15.3,86.2,41.2,Sandy,Rice,22.2,26.9,44.7,DAP (Diammonium Phosphate)
19.5,81.9,56.3,Black,Groundnut,47.3,2.5,126.0,SSP (Single Super Phosphate)
15.6,90.3,72.2,Black,Apple,37.4,127.3,153.6,Urea
10.9,95.9,13.9,Clayey,Banana,148.3,132.5,181.6,No Fertilizer Needed
16.4,90.3,87.3,Clayey,Groundnut,16.6,32.2,158.3,DAP (Diammonium Phosphate)
44.8,30.4,52.6,Black,Apple,29.1,73.9,50.7,Urea
43.3,61.6,57.9,Clayey,Grapes,33.3,115.3,132.8,Urea
44.3,42.2,67.2,Loamy,Coconut,110.2,19.1,139.5,SSP (Single Super Phosphate)
38.7,41.0,77.7,Sandy,Blackgram,94.6,45.1,47.4,Balanced NPK 10-10-10
43.1,40.7,56.3,Black,Coconut,36.7,91.1,183.4,Urea
27.9,37.9,82.7,Loamy,Cotton,94.2,149.1,122.9,No Fertilizer Needed
43.0,79.0,82.3,Loamy,Apple,31.0,17.6,68.7,DAP (Diammonium Phosphate)
12.2,44.3,41.6,Black,Orange,24.6,36.8,188.8,DAP (Diammonium Phosphate)
13.4,85.9,59.6,Red,Groundnut,83.7,116.0,146.9,No Fertilizer Needed
23.2,34.7,37.2,Black,Pomegranate,106.3,97.2,94.7,No Fertilizer Needed
10.8,83.2,23.3,Clayey,Mothbeans,63.4,67.7,126.8,Balanced NPK 10-10-10
36.0,73.4,65.8,Black,Rice,49.1,100.7,65.4,Balanced NPK 10-10-10
38.1,97.1,40.1,Clayey,Mungbean,36.0,24.6,86.9,DAP (Diammonium Phosphate)
34.2,60.0,18.2,Sandy,Chickpea,126.0,131.5,154.3,No Fertilizer Needed
40.9,60.1,81.4,Loamy,Coffee,26.6,83.4,195.7,Urea
44.2,66.7,41.6,Sandy,Jute,69.3,34.7,99.5,SSP (Single Super Phosphate)
31.5,63.5,15.8,Loamy,Papaya,20.0,104.8,48.4,Urea
28.8,28.4,16.1,Sandy,Banana,39.5,46.7,216.0,Urea
38.2,30.8,60.5,Clayey,Groundnut,22.3,120.6,8.9,MOP (Muriate of Potash)
43.2,31.2,13.1,Red,Lentil,3.3,19.2,17.2,NPK 20-20-20
20.4,34.7,33.5,Black,Groundnut,72.6,31.5,8.9,SSP (Single Super Phosphate)
10.3,27.5,26.8,Loamy,Cotton,53.1,34.5,73.0,SSP (Single Super Phosphate)
17.9,94.2,61.8,Black,Sugarcane,92.0,85.7,167.8,No Fertilizer Needed
23.6,21.5,46.8,Clayey,Blackgram,18.4,3.8,133.9,DAP (Diammonium Phosphate)
16.9,70.0,11.0,Red,Lentil,46.5,48.0,111.3,Balanced NPK 10-10-10
26.1,68.0,78.5,Clayey,Pomegranate,109.7,33.6,197.5,SSP (Single Super Phosphate)
14.8,96.4,55.0,Sandy,Rice,46.9,9.0,108.9,SSP (Single Super Phosphate)
43.6,29.7,88.9,Loamy,Sugarcane,62.7,149.4,114.3,No Fertilizer Needed
33.1,71.8,70.8,Sandy,Sugarcane,106.7,51.0,75.8,No Fertilizer Needed
18.2,94.5,66.7,Loamy,Cotton,72.0,86.6,116.9,No Fertilizer Needed
36.2,87.4,64.8,Red,Chickpea,1.2,133.4,78.4,Urea
36.2,68.9,35.2,Loamy,Mungbean,0.8,108.7,149.4,Urea
16.4,24.9,24.9,Clayey,Sugarcane,27.5,15.9,118.2,DAP (Diammonium Phosphate)
30.8,52.2,72.5,Red,Coconut,38.1,102.0,46.5,Urea
39.5,31.2,78.7,Sandy,Apple,27.1,100.3,37.5,Urea
36.4,60.1,43.2,Loamy,Orange,66.9,102.7,25.6,MOP (Muriate of Potash)
17.1,56.5,76.5,Clayey,Pigeonpeas,22.8,35.3,150.8,DAP (Diammonium Phosphate)
13.3,21.2,73.0,Clayey,Wheat,32.8,33.2,72.8,DAP (Diammonium Phosphate)
40.6,82.5,12.6,Loamy,Wheat,18.9,136.3,66.2,Urea
11.7,41.7,74.0,Clayey,Jute,11.8,27.5,73.9,DAP (Diammonium Phosphate)
12.4,65.8,65.0,Black,Cotton,75.7,68.4,82.4,Balanced NPK 10-10-10
38.2,38.2,51.4,Black,Papaya,79.6,40.3,213.2,Balanced NPK 10-10-10
43.9,89.7,43.5,Red,Wheat,79.5,110.1,154.2,No Fertilizer Needed
32.5,76.5,21.8,Clayey,Apple,101.5,76.8,203.6,No Fertilizer Needed
34.6,26.9,49.6,Loamy,Sugarcane,12.0,118.1,21.8,MOP (Muriate of Potash)
38.9,97.5,13.3,Clayey,Chickpea,55.0,128.6,126.4,No Fertilizer Needed
25.8,52.3,69.8,Black,Sugarcane,78.0,112.9,90.7,No Fertilizer Needed
14.6,52.0,18.5,Black,Grapes,14.7,34.6,168.7,DAP (Diammonium Phosphate)
10.2,90.0,26.2,Loamy,Lentil,64.2,72.7,191.2,Balanced NPK 10-10-10
34.8,30.1,51.1,Loamy,Banana,86.2,27.0,62.5,SSP (Single Super Phosphate)
29.5,96.6,34.7,Black,Maize,117.2,124.2,116.8,No Fertilizer Needed
15.7,51.9,24.9,Sandy,Cotton,41.4,50.8,10.4,MOP (Muriate of Potash)
23.1,26.8,22.5,Loamy,Blackgram,102.0,35.5,182.6,SSP (Single Super Phosphate)
12.6,53.4,34.7,Black,Pigeonpeas,5.5,61.7,103.5,Urea
23.6,94.2,70.8,Black,Blackgram,117.1,15.7,138.7,SSP (Single Super Phosphate)
33.9,64.0,45.5,Black,Groundnut,89.1,97.7,114.0,No Fertilizer Needed
20.0,25.9,27.9,Black,Jute,77.1,131.3,210.6,No Fertilizer Needed
22.3,67.5,56.4,Clayey,Mungbean,17.5,137.7,152.9,Urea
23.6,76.7,23.6,Loamy,Pigeonpeas,124.6,51.3,55.1,No Fertilizer Needed
11.7,41.0,27.7,Red,Orange,93.7,7.6,162.7,SSP (Single Super Phosphate)
27.1,23.6,74.3,Sandy,Blackgram,8.0,13.3,39.4,DAP (Diammonium Phosphate)
33.6,72.3,78.8,Black,Mungbean,118.6,71.0,142.7,No Fertilizer Needed
24.7,61.9,86.5,Clayey,Lentil,144.8,130.6,147.0,No Fertilizer Needed
12.2,77.8,26.7,Black,Banana,145.9,111.4,73.6,No Fertilizer Needed
16.2,29.5,64.8,Clayey,Jute,13.1,69.6,204.1,Urea
42.1,36.3,35.5,Clayey,Lentil,136.5,89.7,190.0,No Fertilizer Needed
30.3,93.3,81.1,Loamy,Cotton,90.7,132.5,202.7,No Fertilizer Needed
14.9,56.7,41.7,Black,Chickpea,125.4,148.0,36.1,No Fertilizer Needed
29.2,32.4,79.2,Loamy,Blackgram,144.4,20.9,188.1,SSP (Single Super Phosphate)
26.0,24.5,54.8,Sandy,Mungbean,83.9,125.8,160.2,No Fertilizer Needed
32.0,20.7,45.5,Black,Sugarcane,48.9,90.4,147.7,No Fertilizer Needed
35.0,32.2,84.9,Black,Sugarcane,43.1,39.9,3.8,SSP (Single Super Phosphate)
18.4,66.7,58.4,Clayey,Pigeonpeas,136.7,26.2,195.4,SSP (Single Super Phosphate)
10.6,91.8,79.9,Loamy,Coconut,28.2,90.9,62.0,Urea
21.1,20.7,72.3,Red,Orange,54.7,142.3,95.2,No Fertilizer Needed
28.5,46.7,84.3,Black,Cotton,26.5,102.5,90.7,Urea
10.8,89.0,23.0,Clayey,Mungbean,67.5,30.6,180.7,SSP (Single Super Phosphate)
30.7,91.2,58.1,Loamy,Pigeonpeas,28.4,51.7,134.3,Urea
44.2,75.3,36.8,Sandy,Blackgram,27.8,75.3,192.3,Urea
18.8,69.5,70.7,Black,Pigeonpeas,42.5,112.4,90.8,No Fertilizer Needed
31.0,77.9,70.0,Red,Papaya,96.2,18.7,136.2,SSP (Single Super Phosphate)
10.3,21.8,25.8,Red,Papaya,86.0,16.2,45.0,SSP (Single Super Phosphate)
20.9,51.6,28.5,Loamy,Orange,25.6,110.5,169.6,Urea
36.7,85.0,46.9,Loamy,Apple,23.2,128.1,140.7,Urea
20.6,58.9,54.8,Loamy,Banana,143.5,101.5,31.5,No Fertilizer Needed
13.5,51.8,53.6,Clayey,Apple,10.4,129.5,122.9,Urea
23.7,78.5,11.0,Clayey,Mango,18.3,32.7,43.4,DAP (Diammonium Phosphate)
21.2,60.0,16.8,Black,Mango,38.6,90.7,114.3,Urea
31.0,61.0,89.1,Red,Blackgram,45.9,59.8,13.5,MOP (Muriate of Potash)
13.1,46.8,82.1,Sandy,Mango,69.5,18.3,134.2,SSP (Single Super Phosphate)
33.2,47.0,47.7,Clayey,Papaya,58.4,64.1,119.1,Balanced NPK 10-10-10
23.6,64.0,88.3,Black,Lentil,115.1,102.4,19.3,MOP (Muriate of Potash)
32.8,84.7,13.5,Loamy,Maize,25.3,92.5,59.5,Urea
26.8,47.0,30.3,Clayey,Coffee,35.9,120.5,187.3,Urea
32.2,66.7,51.5,Black,Lentil,89.9,131.5,83.3,No Fertilizer Needed
34.5,88.6,15.4,Red,Mothbeans,137.6,71.8,168.4,No Fertilizer Needed
20.0,37.5,34.6,Black,Maize,45.0,27.4,194.1,SSP (Single Super Phosphate)
40.7,44.5,64.9,Red,Rice,100.1,63.0,98.0,No Fertilizer Needed
16.7,29.9,23.9,Black,Sugarcane,95.4,21.7,128.2,SSP (Single Super Phosphate)
36.8,69.2,31.0,Sandy,Blackgram,96.5,69.4,188.9,Balanced NPK 10-10-10
30.3,82.3,72.7,Black,Mungbean,120.6,54.3,13.3,MOP (Muriate of Potash)
11.4,69.1,82.8,Clayey,Pomegranate,141.5,66.7,68.9,No Fertilizer Needed
10.7,51.3,14.0,Black,Blackgram,103.4,110.2,144.7,No Fertilizer Needed
40.7,85.9,81.2,Black,Mungbean,87.4,65.7,123.4,Balanced NPK 10-10-10
